benchmarks,dims,assorted_bool,assorted_int,assorted_float,adjacency,stochastic
baseline,25,0.0,0.0,0.0,0.0,0.0
simple_parallel,25,0.0031000000000000003,0.0015000000000000002,0.0030000000000000005,0.0016,0.0015
approx,25,0.0,0.0001,0.0,0.0,0.0
baseline,50,0.0,0.0,0.0,0.0,0.0
simple_parallel,50,0.0038,0.0041,0.004100000000000001,0.004,0.002500000000000001
approx,50,0.0002,0.0004,0.0006000000000000001,0.0005,0.0002
baseline,100,0.0011000000000000003,0.0011,0.0012000000000000003,0.0011000000000000003,0.0013000000000000002
simple_parallel,100,0.0061,0.0079,0.007400000000000001,0.0055,0.0035000000000000005
approx,100,0.0020000000000000005,0.0021000000000000003,0.0020000000000000005,0.0023000000000000004,0.0021000000000000003
baseline,500,0.1418,0.19340000000000002,0.2887,0.18739999999999998,0.24970000000000003
simple_parallel,500,0.1607,0.2517,0.49800000000000005,0.21820000000000003,0.45920000000000005
approx,500,0.1518,0.1747,0.17909999999999998,0.14320000000000002,0.147
baseline,1000,1.5388999999999997,2.8268999999999993,2.6112999999999995,2.6067,2.3415000000000004
simple_parallel,1000,1.3852,3.1429,2.3319,2.3729000000000005,1.7645
approx,1000,1.9075999999999997,3.2757999999999994,1.8430999999999997,1.7729,1.7782
